pilot_id,pilot_name,rank_date,rank
46324,Loïs Goutagny,2022-12-01,8
70847,Roger Aeschbacher,2025-07-01,8
2724,Petr Kostrhun,2024-05-01,9
4387,Christoph Eder,2016-08-01,9
10388,Julian Andres Carreño Colonia,2014-05-01,9
13888,Michael Maurer,2014-04-01,9
16433,Michael Küffer,2014-10-01,9
59571,Federico Brown Manzone,2025-07-01,9
331,Christian Tamegger,2007-08-01,10
3243,Peter Vyparina,2020-08-01,10
9139,Marc Wensauer,2015-06-01,10
10526,Martin Petz,2023-09-01,10
11716,Gleb Sukhotskiy,2018-09-01,10
56699,Edouard Potel,2025-09-01,10
71554,Dylan Mansley,2025-08-01,10
75862,Marcelo Sanchez Vilchez,2025-06-01,10
82217,Álvaro Romero Camacho,2025-10-01,10
295,Enda Murphy,2006-04-01,11
320,Go Kato,2002-12-01,11
863,Carlos Daniel Gomez Garcia,2014-07-01,11
29793,Cody Mittanck,2020-06-01,11
30418,Robert Berg,2025-10-01,11
282,Michael Von Wachter,2014-06-01,12
600,Armin Eder,2010-11-01,12
1986,Tadano Shoichiro,2002-12-01,12
2435,Washington Luiz Peruchi,2025-08-01,12
3128,Maurizio Bottegal,2008-10-01,12
3162,Davide Cassetta,2013-08-01,12
8913,Yury Mishanin,2013-06-01,12
61953,Jonas Horacek,2023-06-01,12
125,Rafael Saladini,2020-01-01,13
297,Craig Collings,2006-11-01,13
355,Stephane Andre,2002-12-01,13
4109,Michael Witschi,2006-08-01,13
5393,Simon Issenhuth,2009-05-01,13
307,Marco Arnold,2002-12-01,14
506,Wojciech Maliszewski,2004-06-01,14
928,Karlo Bonačić,2009-02-01,14
3334,Nicolas Rieusset,2012-08-01,14
4258,Anders Baerheim,2010-10-01,14
5142,Yongtae Ahn,2019-09-01,14
5214,Alfredo Studer,2014-06-01,14
5378,Peter Gebhard,2011-07-01,14
32353,Jacek Gorski,2024-08-01,14
46267,Theo Warden,2019-08-01,14
314,Kaoru Ogisawa,2002-12-01,15
361,Marco Littame,2013-06-01,15
368,Josh Cohn,2012-04-01,15
1742,Arnaud Secher,2008-10-01,15
4385,Bojan Gabersek,2019-08-01,15
25330,Stefan Bernhard,2020-03-01,15
353,Fred Gungl,2005-03-01,16
377,Primoz Susa,2015-04-01,16
403,Davide Cardona,2006-10-01,16
3690,Miguel Angel Martinez Ibanez,2007-02-01,16
8593,Hernán Pitocco,2018-01-01,16
17535,Stan Radzikowski,2023-09-01,16
25784,Marco Busetta,2019-04-01,16
26103,Tim Rochas,2022-07-01,16
34381,Emil Cervenan,2020-01-01,16
56759,Andy Tallia,2025-07-01,16
66555,Arthur Moindrot,2025-08-01,16
383,Erik Rehnfeldt,2008-05-01,17
475,Jouni Makkonen,2019-12-01,17
542,Jens Kierdorf,2016-09-01,17
717,Guy Anderson,2018-09-01,17
1641,Joze Molek,2014-09-01,17
23530,Idris Birch,2017-11-01,17
37170,Isidor Fink,2020-01-01,17
49634,Martin Long,2020-06-01,17
278,Wim Verhoeve,2011-01-01,18
321,Seyong Jung,2008-04-01,18
360,Oystein Walle,2003-12-01,18
522,Mickele Farina,2006-03-01,18
1431,Rafal Luckos,2013-01-01,18
2650,Orlin Dimov,2009-07-01,18
2780,Francois De Villiers,2006-11-01,18
11963,Rafael Moraes Barros,2025-02-01,18
339,DELETED,2002-12-01,19
727,Krzysztof Ziółkowski,2007-07-01,19
2959,Ewa Wisnierska,2006-07-01,19
3374,Igor Todevski,2011-08-01,19
4364,Pal Takats,2020-06-01,19
12129,Kliber Pereira,2014-08-01,19
28195,Thomas Gury,2017-06-01,19
68647,Christoph Dunkel,2022-02-01,19
76275,Damien Pattou,2025-09-01,19
348,Martin Brunn,2010-06-01,20
1990,Erwan Didriche,2022-05-01,20
22365,Damien Lacaze,2015-06-01,20
55451,Selever Bogdan - Tudor,2024-03-01,20
1328,Grant Middendorf,2004-03-01,21
1788,Jean-Baptiste Berlioux,2010-07-01,21
5033,Josef Brandner,2010-06-01,21
29785,Jan Jares,2022-12-01,21
30424,Cristian Deacu,2020-06-01,21
42996,Jose Rebelo,2022-02-01,21
324,Volker Nies,2002-12-01,22
330,Rhett Rockman,2004-06-01,22
2140,Alexey Tarakanov,2011-07-01,22
15645,Franz Erlacher,2018-01-01,22
17421,Gareth Carter,2018-07-01,22
22471,Yoshiaki Hirokawa,2020-06-01,22
43173,Xavier Laporte,2022-01-01,22
44803,Chigwon Won,2024-12-01,22
51161,Tanguy Renaud-Goud,2025-05-01,22
58759,William Pardis,2025-10-01,22
460,Eric Reed,2006-03-01,23
489,Tor-Erik Stranna,2003-12-01,23
630,Ronny Geijsen,2008-09-01,23
50492,Thibault Voglet,2025-04-01,23
421,James Lawson,2006-06-01,24
436,Mauro Maggiolo,2004-12-01,24
740,Mattias Roten,2004-12-01,24
3432,Tsuji Tsuyoshi,2002-12-01,24
8644,Seiko Fukuoka Naville,2019-03-01,24
13887,Adrian Hachen,2021-12-01,24
17356,Mariusz Wisniowski,2022-04-01,24
21406,Jonas Böttcher,2022-08-01,24
21599,Yoann Chavanne,2016-01-01,24
61561,Ivan Haas,2022-02-01,24
2169,Goran Dimiskovski,2008-08-01,25
5105,Luciano Horn,2024-11-01,25
5513,Thomas Ide,2012-09-01,25
10842,Lorant Falucskai,2025-02-01,25
11322,Stanislav Klikar,2013-11-01,25
21158,Marek Robel,2022-06-01,25
37628,Flavio Funiati,2024-06-01,25
322,Yvan Boullen,2002-12-01,26
328,Ronny Helgesen,2009-03-01,26
16513,Juan Carlos Morán Reinoso (Titos),2025-02-01,26
39705,Stephan Schöpe,2025-09-01,26
45411,Téo Bouvard,2025-06-01,26
56965,José Jiménez Belda,2024-12-01,26
824,Joachim Torn,2018-01-01,27
2112,Juan Becerra,2012-08-01,27
46325,Luis Martinez Iturbe,2025-05-01,27
60845,Adrien Raisson,2024-06-01,27
2045,Federico Nevastro,2008-06-01,28
2427,Luciano Bender Tcacenco,2006-03-01,28
3349,Elisa Houdry,2010-04-01,28
4284,Ludovic Sivignon,2012-02-01,28
4913,Emile Van Wyk,2014-08-01,28
38062,Krzysztof Schmidt,2022-05-01,28
67243,Ondrej Pohorelsky,2025-09-01,28
70723,Justin Puthod,2024-11-01,28
1287,Rüdiger Gördes,2002-12-01,29
1857,Yongmook Won,2002-12-01,29
4215,Nicholas Greece,2011-04-01,29
14765,Erico Oliveira,2025-01-01,29
21011,Frédéric Sinatti,2014-05-01,29
29786,Stanislav Mayer,2019-02-01,29
45412,Simon Pellissier,2022-02-01,29
292,Hans Bollinger,2006-03-01,30
305,Nevil Hulett,2007-02-01,30
326,Andre Rainsford-Alberts,2013-06-01,30
354,Ginseok Song,2010-06-01,30
2334,Nuno Virgilio,2013-08-01,30
2483,William Markt,2005-06-01,30
4456,Anja Kroll,2008-06-01,30
302,Kaspar Henny,2002-12-01,31
493,Bruno Arnold,2004-06-01,31
601,Roman Fleisch,2004-03-01,31
738,Neil Roberts,2011-04-01,31
953,Brad Gunnuscio,2009-04-01,31
9176,Stephan Gruber,2015-07-01,31
9936,Vladimir Bacanin,2013-09-01,31
9993,Dmitry Korolev,2012-09-01,31
81169,Michel Cervellin,2025-08-01,31
3244,Stefan Vyparina,2017-05-01,32
342,Masataka Kawachi,2004-06-01,33
3065,Urs Schoenauer,2008-07-01,33
3407,Larry Pino Mandry,2007-02-01,33
58777,Violeta Jimenez,2025-01-01,33
346,Rene Hauser,2002-12-01,34
4747,Russell Achterberg,2011-03-01,34
21605,Antoine Gerin-Jean,2015-08-01,34
85651,Tilo Darroze,2025-10-01,34
420,Ulric Jessop,2003-12-01,35
12897,Daniel Alex Ciuhandu,2011-01-01,35
17991,Sylvain Dhonneur,2012-08-01,35
350,Ross Johnstone,2005-03-01,36
492,Petra Slivova,2007-06-01,36
768,Jose Manuel Reina Lagos,2007-02-01,36
2033,Claudio Virgilio,2014-08-01,36
12320,Richard Gallon,2013-07-01,36
20909,François Cormier,2024-01-01,36
22282,Olivier Henry,2025-08-01,36
71050,Yann Livinec,2025-01-01,36
10761,Franz Schilter,2021-08-01,37
16431,Dominik Breitinger,2022-05-01,37
363,Roman Witkowski,2004-09-01,38
472,Americo Sousa,2002-12-01,38
4396,Andrey Eliseev,2012-02-01,38
11267,Damien Sevrez,2010-07-01,38
14718,Manuel Quintanilla,2023-03-01,38
29299,Richard Trumel,2013-08-01,38
29434,Johannes Baumgarten,2023-09-01,38
30553,Remi Bourdelle,2019-02-01,38
71286,Alexia Fischer,2024-06-01,38
81936,Marcos Sancho Fernández,2025-10-01,38
300,Peter Brinkeby,2002-12-01,39
531,Klaus gunter Eberle,2002-12-01,39
3341,Franck Perring,2019-08-01,39
3525,Balazs Racz,2021-12-01,39
4855,Michal Sneiberg,2008-02-01,39
5257,Florian Haller,2011-07-01,39
9766,Miguel Diaz Ruiz,2017-04-01,39
11519,Julien Brung,2016-04-01,39
12885,Pawel Barton,2012-02-01,39
29904,Michele Boschi,2018-01-01,39
55574,Constance Mettetal,2025-05-01,39
622,Klemen Peljhan,2012-04-01,40
665,Mark Hayman,2008-07-01,40
3242,Peter Vrabec,2007-06-01,40
10332,Carlos Cordido,2014-06-01,40
46174,Andreas Nyffenegger,2021-07-01,40
48841,Kilian Hallweger,2025-10-01,40
315,Rolf Dale,2018-11-01,41
697,Roger Fowkes,2004-06-01,41
3269,Thomas Mccune,2006-03-01,41
29333,Simon Arnold,2017-11-01,41
309,Anton Naude,2004-03-01,42
371,Brian Webb,2006-11-01,42
381,Philippe Broers,2005-06-01,42
700,Stephan Wirgler,2006-07-01,42
2277,Daniel Hierling,2004-12-01,42
3981,Matthew Beechinor,2009-03-01,42
5228,Yigit Yildirim,2013-05-01,42
19617,Thomas Klinger,2014-08-01,42
25782,Giuliano Minutella,2025-05-01,42
9641,Bjørnar Trondsen,2011-01-01,43
10136,Richard Pethigal,2025-01-01,43
67349,Boudet Victor,2022-02-01,43
75810,Antoine Dubois-Merce,2024-03-01,43
835,Roberto Marchetti,2007-07-01,44
3651,Pawel Faron,2008-02-01,44
9259,Manuel Nuebel,2014-03-01,44
24305,Christian Schlägel,2020-08-01,44
52658,Michael Sommerauer,2023-04-01,44
313,Peter Von kanel,2002-12-01,45
325,Miroslav Varvarovsky,2002-12-01,45
376,Godfrey Wenness,2004-06-01,45
416,Karel Koster,2006-11-01,45
474,Peter Frauenschuh,2008-06-01,45
610,Jonathan Duncan,2007-02-01,45
5634,Adam Hill,2013-01-01,45
13327,Manuel Grandi,2023-05-01,45
14563,Christian Barthelmann,2019-03-01,45
32506,Nicola Donini,2018-02-01,45
469,Pierandrea Patrucco,2006-09-01,46
612,Peter Jung,2017-05-01,46
3392,Dattar Rana (Debu) Choudhury,2012-04-01,46
3832,Karin Appenzeller,2007-03-01,46
4597,Jack Brown,2011-07-01,46
12396,Dominik Frei,2011-04-01,46
16441,Nanda Walliser,2023-07-01,46
19828,Rémi Montginot,2014-07-01,46
82127,François Montuori,2025-08-01,46
335,Louise Crandal,2002-12-01,47
1895,Olivier Tops,2004-09-01,47
20745,Matt Henzi,2024-05-01,47
32345,Mario Queiroz Monteiro,2025-05-01,47
501,Craig Donnell,2006-04-01,48
616,Semih Sayir,2007-03-01,48
725,Pedro Moreira,2002-12-01,48
4321,David Cubel Gallarte,2011-11-01,48
50650,Jiuhua Qu,2025-01-01,48
919,Shinichi Nagashima,2003-12-01,49
2142,Gunnar Sæbu,2004-03-01,49
2569,Dave Snowden,2004-09-01,49
3105,Peter Sommer,2008-01-01,49
16742,Juho Komulainen,2023-08-01,49
40116,Caio Henrique Buzzarello,2022-05-01,49
45938,Bastien De Luca,2018-08-01,49
53728,Rok Kaver,2023-07-01,49
2061,Luciano Pagnoni,2013-03-01,50
2725,Petr Kuhn,2007-08-01,50
3424,Marcus Malmqvist,2012-03-01,50
5370,Alessio Antonio Voltan,2018-07-01,50
14194,Sylvain Gattini,2016-07-01,50
24805,Daniel Fischer,2023-09-01,50
40081,Vit Pekarek,2025-09-01,50
60987,Nicolas Dinh,2025-08-01,50
414,Brett Zaenglein,2004-12-01,51
662,Franck Chapon,2002-12-01,51
2453,Jörg Ewald,2020-08-01,51
3472,Pavel Makarov,2006-11-01,51
9334,Petr Chromec,2013-01-01,51
10290,Didier De Saint Etienne,2012-05-01,51
44560,Denis Pogolsa,2025-01-01,51
570,Marko Novak,2012-05-01,52
4014,Dmitry Maslennikov,2008-06-01,52
4532,Thomas Weingartner,2016-07-01,52
12161,Allly  Palencia,2015-07-01,52
38671,Pawel Bedynski,2023-03-01,52
54359,Alfio Ragaglia,2025-03-01,52
55060,Youri Pitteloud,2024-02-01,52
379,Andreas Birenstihl,2005-09-01,53
458,Youngbok Lee,2002-12-01,53
557,Sooyong Phi,2006-07-01,53
1073,Tomasz Pankiewicz,2004-09-01,53
1785,Michel Macquet,2012-06-01,53
2283,Chikyong Ha,2007-02-01,53
3226,Egon Prader,2010-04-01,53
4290,Julien Garcia,2024-06-01,53
19848,Laurie Genovese,2013-07-01,53
37545,Yael Margelisch,2022-05-01,53
710,Zoran Labovic,2008-08-01,54
2662,Craig Morgan,2011-08-01,54
9158,Marko Hrgetic,2010-04-01,54
50391,Michal Talavašek,2025-01-01,54
319,Andrew Smith,2002-12-01,55
1147,David Prentice,2006-04-01,55
1576,Ramon Morillas Salmeron,2007-02-01,55
10572,Jesus Costa Sanchez,2014-03-01,55
39125,Patrick Von Känel,2016-05-01,55
3734,Brendan Reid,2017-04-01,56
3964,Maurice Knur,2018-06-01,56
9160,Antun Lovrec,2023-02-01,56
26293,Sun Goueslain,2014-08-01,56
413,Stefan Brandlehner,2023-09-01,57
442,Adie Kumar,2006-07-01,57
3188,Stefano Sottroi,2008-07-01,57
4269,Frederic Varrey,2006-05-01,57
4603,Matt Dadam,2009-03-01,57
9098,Dominic Rohner,2022-05-01,57
56786,Dawid Krol,2025-09-01,57
61949,Daniel Dijoux,2020-06-01,57
336,Jacques Breytenbach,2004-03-01,58
399,Stephane Loisy,2004-12-01,58
530,Santiago Baeza Utsinger,2008-03-01,58
1195,Nate Scales,2011-01-01,58
1702,Peter Sjostedt,2005-09-01,58
5245,Reiner Braun,2023-09-01,58
5397,Gerard Chouvin,2007-02-01,58
10029,Sergio Sampaio,2025-01-01,58
16827,Arnold Frankenberger,2012-07-01,58
45975,Markus Anders,2024-06-01,58
62837,Fabrice Thiébaud,2024-07-01,58
412,Len Szafaryn,2005-03-01,59
1194,Brett Hazlett,2014-05-01,59
2049,Fulvio Polcini,2007-03-01,59
3032,Gilmar Couto,2022-06-01,59
4250,Bjorn Skarpas,2007-07-01,59
10635,Joeri Bal,2022-02-01,59
19909,Heinrich Bretz,2024-02-01,59
22831,Alex Yaschenko,2019-02-01,59
345,Suby Lutolf,2002-12-01,60
3830,Michel Guillemot,2017-12-01,60
3856,Ricardo Gomez Arroyave,2014-03-01,60
10698,Matej Ceglar,2009-09-01,60
17140,Durali Karaca,2017-01-01,60
13129,Mate Nagy,2015-07-01,61
1364,Matthias Raab,2006-06-01,62
1830,Luis Rosenkjer,2006-03-01,62
1873,Edinson Alvarez Suarez,2014-03-01,62
2512,Vasily Pavlov,2004-09-01,62
25879,Lode Spruyt,2023-07-01,62
454,Gil Navalho,2006-12-01,63
479,Roman Lotric,2006-08-01,63
867,Slawomir (slavek) Matras,2007-02-01,63
1326,Ron McKenzie,2004-03-01,63
2083,Silvia Vanda Angela Buzzi Ferraris,2017-05-01,63
3293,Damir Biondic,2009-02-01,63
4504,Maurizio Maina,2014-06-01,63
21476,Bogdan Bialka,2025-02-01,63
341,Stein-Tore Erdal,2003-12-01,64
351,Stewart Dennis,2004-06-01,64
748,Stojan Kranjc,2008-02-01,64
1839,Alexey Kruglov,2004-09-01,64
2203,Luciano Gallo,2006-09-01,64
4645,Nozomu Takagi,2006-04-01,64
5383,Ivan Centa,2024-02-01,64
5636,Kjell Harald Nesengmo,2013-01-01,64
8761,Magnus Österberg,2013-01-01,64
11087,Joerg Nuber,2019-03-01,64
14324,Franck Vialet,2015-08-01,64
17268,Chris Van Noord,2013-07-01,64
27101,Thibaut Lavole,2016-08-01,64
29094,Peter Nägele,2018-05-01,64
48098,Dominik Kapica,2025-08-01,64
4469,Christoph Trutmann,2013-09-01,65
4781,Olympio Faissol,2009-05-01,65
5093,Szilard Forgo,2006-03-01,65
34348,Evan Bouchier,2023-03-01,65
36096,Tadej Krevh,2019-05-01,65
73489,Boris Plamenov Miladinov,2024-12-01,65
744,Bertrand Chol,2009-08-01,66
2476,Aleksej Lobikov,2007-02-01,66
9131,Torsten Sattler,2016-06-01,66
12591,Samuel Nascimento,2011-04-01,66
18726,Jost Napret,2015-06-01,66
54749,Patrice Duquerrois,2023-04-01,66
82134,Andres Tello Alvarado,2025-10-01,66
411,Davide Licini,2002-12-01,67
424,Ari Sahlström,2009-03-01,67
1082,Cecilio Valenzuela Requena,2010-08-01,67
3713,Jan Richard Hansen,2013-09-01,67
9255,Jan-Philip Rebhan,2020-07-01,67
12667,Nicole Fedele,2015-01-01,67
51438,Mike Lester,2025-08-01,67
334,Mads Syndergaard,2010-05-01,68
1473,Klaudia Bulgakow,2014-03-01,68
2145,Ole Johnny Rønneberg,2013-02-01,68
3733,Julian Robinson,2017-08-01,68
32159,Xavier Pujol Barricart,2017-09-01,68
33350,Sergi Claret,2022-02-01,68
556,Robert Maier,2002-12-01,69
3332,Julien Irilli,2005-03-01,69
3572,Alexey Bystritskiy,2016-09-01,69
4480,David Chaumet,2005-03-01,69
9332,Adam Zemba,2011-01-01,69
41950,Aleksei Riabtsev,2019-03-01,69
1477,Radomir Vyhlas,2007-08-01,70
2484,Jean-Michel Ara-Somohano,2007-10-01,70
4729,Martinho Ribeiro De Morais,2024-02-01,70
9776,DELETED,2002-12-01,70
14704,Jorfan Vivas Rivas,2014-03-01,70
26431,Peter Slade,2018-04-01,70
63659,Dan Girdea,2024-02-01,70
680,Pavel Iker,2017-05-01,71
16434,Tim Bollinger,2014-07-01,71
23796,Mitchell Riley,2019-03-01,71
25631,Tomasz Janikowski,2019-07-01,71
69647,Seokju Hur,2025-08-01,71
3195,Paolo Facchini,2016-04-01,72
4587,Johannes Huber,2010-04-01,72
9028,Gilberto Ferreira Raposo,2022-05-01,72
9477,Gianbasilio Profiti,2009-06-01,72
337,Ondrej Dupal,2002-12-01,73
404,Tomaz Erzen,2012-07-01,73
631,Evzen Hollmann,2004-09-01,73
644,Grey Hamilton,2005-03-01,73
685,Martin Bacsak,2004-03-01,73
1600,Iván Colás,2012-08-01,73
2570,Steven Etherington,2009-02-01,73
13630,Kiyoshi Nariyama,2014-08-01,73
23567,Soheil Barikani,2016-05-01,73
45846,Marchitan Ovidiu-Mihai,2025-02-01,73
10032,Deonir Spancerski,2019-03-01,74
14664,Wally Arcidiacono,2025-01-01,74
56817,Austin Cox,2024-04-01,74
74113,Francisco López Ricardo,2024-02-01,74
55577,Gregoire Lombardi,2020-01-01,75
56829,Dusan Surina Jr.,2025-01-01,75
373,Valery Montant,2003-12-01,76
677,Jean-Francois Chapuis,2004-03-01,76
2356,Alexandre Germani,2025-10-01,76
4305,Benoit Bayon,2009-09-01,76
5423,Konrad Görg,2010-05-01,76
12721,Jeison Zeferino Brito,2019-02-01,76
14719,Hans Kristjan Gudmundsson,2020-06-01,76
3614,Roman Salimov,2006-09-01,77
5101,Ronnie Koerich,2023-05-01,77
515,Mike Aston,2004-03-01,78
3066,Kyoungseok Choi,2005-03-01,78
20485,Michel Levisse,2015-01-01,78
54537,Jérôme Kägi,2025-09-01,78
2025,Jose diego pinho Pires,2004-09-01,79
4921,Felipe Rezende,2019-04-01,79
5521,Matt Senior,2016-04-01,79
11999,Sebastien Bochet,2012-05-01,79
71123,Marcin Wirski,2024-02-01,79
367,Ryan Swan,2002-12-01,80
455,Serge Simondi,2002-12-01,80
3428,Marina Olexina,2008-02-01,80
4111,Manfred Zenker,2020-07-01,80
5314,Todd Weigand,2006-03-01,80
20612,Denis Chouraqui,2017-01-01,80
67777,Tommaso Carlini,2025-08-01,80
70579,Gerhard Neuhold,2025-05-01,80
79699,Hippolyte Melo,2024-01-01,80
317,Vincent Sprungli,2004-06-01,81
559,James Thompson,2006-05-01,81
2256,Marco Hierling,2003-12-01,81
4082,Jean-Pierre Philippe,2016-06-01,81
5357,Gerald Ameseder,2008-05-01,81
24136,Mohsen Mansouri,2025-08-01,81
44886,Harry Bloxham,2019-08-01,81
49310,Samuel Tanner,2025-09-01,81
61589,Dagfinn Graneng,2025-05-01,81
304,Angus Tapper,2004-03-01,82
2863,Shane Hill,2007-08-01,82
3002,Viviene Williams,2007-04-01,82
5642,Magnus Eriksson,2012-06-01,82
590,Eduardo Lagoa,2002-12-01,83
777,Peter Simonics,2004-06-01,83
2056,Gianfranco Crestani,2006-06-01,83
3604,Valeryi Zadorognyi,2006-08-01,83
9173,Thomas Berger,2016-07-01,83
10393,Henry Alexander Alcazar Rincon,2016-04-01,83
29509,Jared Anderson,2014-05-01,83
1124,Slawomir Kaczynski,2009-03-01,84
1133,Peter Tasi,2005-03-01,84
2497,Vitaly Shabanov,2007-05-01,84
5360,Franco Ruggeri,2008-05-01,84
9627,Victor Sibirtsev,2012-09-01,84
36039,Jernej Simič,2024-01-01,84
4884,Jonathan Vigano,2012-04-01,85
10188,Vincent Fabre,2012-07-01,85
30480,Alvaro Blas Lucero,2023-04-01,85
358,Paul Pallet,2006-04-01,86
438,Henry Schurink,2007-02-01,86
503,Andy Hediger,2007-01-01,86
2772,Moonseob Lim,2012-07-01,86
2915,Bernardo Medina Sastre,2016-04-01,86
3873,Edgar F Martinez Torres,2025-02-01,86
24725,Martin Rebord,2017-06-01,86
33977,Yesid Alvarez,2020-06-01,86
54662,Gabrieli Richárd,2024-12-01,86
85308,Joshua Sanderson,2025-08-01,86
623,Hugo Robben,2008-04-01,87
3638,Piotr Mieszczak,2013-09-01,87
5563,Evgenii Griaznov,2011-01-01,87
9254,Simon Kirsch,2016-04-01,87
11822,Tomasz Kuczkowski,2014-07-01,87
19663,Nicola Di Bernardo,2022-04-01,87
26728,Tulio Subira,2025-10-01,87
485,Simon Morgenthaler,2002-12-01,88
1647,Borut Hafner,2012-02-01,88
8769,Eric Olivier,2008-06-01,88
10686,Laurent Guibourdenche,2013-07-01,88
11357,Krzysztof Maciejczuk,2022-04-01,88
27866,Ceri Brown,2022-04-01,88
29846,Marcella Pomarico Uchoa,2023-04-01,88
68894,Dario Dandeu,2024-08-01,88
465,Bill Belcourt,2025-02-01,89
480,Juan Carlos Martinez Melon,2009-08-01,89
3075,Keiko Hiraki,2007-04-01,89
3853,Frank Tovar,2014-03-01,89
5299,Andy Macrae,2016-04-01,89
13264,Youngjong Park,2019-02-01,89
24823,Cyril Lambert,2019-03-01,89
53069,Vitalii Umanskyi,2020-01-01,89
431,Chris Harland,2014-07-01,90
886,Markus S. Wicki,2024-02-01,90
2499,Egor Terentyev,2003-12-01,90
2989,Valery Tzvetanov,2005-03-01,90
3129,Loris Berta,2009-11-01,90
3960,Che Golus,2019-02-01,90
17925,Jan Sterren,2017-02-01,90
19844,Pawel Chrząszcz,2022-07-01,90
40432,Roger Pifarré Abad,2024-02-01,90
401,Arne Aarsbog,2002-12-01,91
626,Daniel Eduardo Vallejo Rivas,2014-03-01,91
2465,Balazs Vertes,2007-04-01,91
3427,Jose Ramon Sainz Barreda,2002-12-01,91
4192,Manuel Croci,2007-03-01,91
6309,Francis De Bruyn,2020-03-01,91
24647,Carlos Alberto Fernandes Lopes,2025-01-01,91
50001,Chris Cote,2022-04-01,91
429,Rudolf Untermoser,2007-06-01,92
1685,Elizabeth Rauchenberger,2005-06-01,92
